DATOS
NOMBRE FICHERO = E:\1_proyectos\UVA\U0004_caja_sensores\Software\PASCAL\datos_medicion.dat
NOMBRE FICHERO SETUP = inicioO2.stp
DIA y HORA = 15/11/2021 10:58:40
HORA ; TIEMPO TEST ; SENSOR ; O2 ; TEMP ; PRESION ; O2% ; ERROR
11:20:05;000:11;002;0197,8;+20,4;0994;019,90;0000
11:20:05;000:12;003;0195,0;+18,6;0993;019,63;0000
11:20:05;000:12;004;0199,0;+20,5;0992;020,06;0000
11:20:05;000:12;005;0197,6;+21,6;0994;019,88;0000
11:20:05;000:12;006;0198,3;+21,5;0993;019,97;0000
11:20:06;000:12;008;0195,2;+18,4;0992;019,68;0000
11:20:07;000:14;001;0197,4;+21,6;0994;019,86;0000
11:20:07;000:14;002;0197,8;+20,4;0994;019,90;0000
11:20:07;000:14;003;0195,0;+18,5;0993;019,63;0000
11:20:07;000:14;004;0199,0;+20,5;0992;020,06;0000
11:20:08;000:14;005;0197,6;+21,6;0994;019,88;0000
11:20:08;000:14;006;0198,3;+21,5;0993;019,97;0000
11:20:08;000:14;008;0195,2;+18,5;0992;019,68;0000
11:39:12;000:02;001;0198,7;+21,4;0994;019,99;0000
11:39:14;000:04;001;0198,7;+21,4;0994;019,99;0000
11:39:27;000:01;001;0198,0;+21,4;0994;019,92;0000
11:39:27;000:01;002;0199,2;+20,3;0994;020,04;0000
11:39:27;000:01;003;0195,9;+18,6;0993;019,72;0000
11:39:27;000:01;004;0199,5;+20,5;0992;020,11;0000
11:39:29;000:03;001;0198,0;+21,5;0994;019,92;0000
11:39:29;000:03;002;0199,2;+20,3;0994;020,04;0000
11:39:29;000:03;003;0195,9;+18,6;0993;019,72;0000
11:39:30;000:03;004;0199,5;+20,5;0993;020,09;0000
11:53:08;000:01;001;0198,5;+21,5;0994;019,97;0000
11:53:08;000:02;002;0199,0;+20,4;0994;020,02;0000
11:53:08;000:02;003;0195,9;+18,9;0993;019,73;0000
11:53:08;000:02;004;0199,4;+20,8;0992;020,10;0000
11:53:08;000:02;005;0197,6;+22,1;0994;019,88;0000
11:53:08;000:02;006;0198,2;+22,0;0993;019,96;0000
11:53:08;000:02;007;0193,6;+19,0;0993;019,49;0000
11:53:08;000:02;008;0195,4;+18,9;0993;019,68;0000
11:53:10;000:04;001;0198,5;+21,6;0994;019,97;0000
11:53:10;000:04;002;0199,0;+20,4;0994;020,02;0000
11:53:10;000:04;003;0195,8;+19,0;0993;019,72;0000
11:53:10;000:04;004;0199,4;+20,9;0992;020,10;0000
11:53:10;000:04;005;0197,6;+22,2;0994;019,88;0000
11:53:10;000:04;006;0198,2;+22,0;0994;019,94;0000
11:53:10;000:04;007;0193,6;+19,0;0993;019,49;0000
11:53:10;000:04;008;0195,4;+18,9;0993;019,68;0000
11:53:12;000:06;001;0198,4;+21,6;0994;019,97;0000
11:53:12;000:06;002;0199,0;+20,4;0994;020,02;0000
11:53:12;000:06;003;0195,8;+19,0;0993;019,72;0000
11:53:12;000:06;004;0199,4;+20,9;0992;020,10;0000
11:53:12;000:06;005;0197,6;+22,1;0994;019,88;0000
11:53:12;000:06;006;0198,2;+22,0;0994;019,94;0000
11:53:12;000:06;007;0193,6;+19,0;0993;019,49;0000
11:53:12;000:06;008;0195,4;+18,8;0993;019,68;0000
11:53:14;000:08;001;0198,4;+21,6;0994;019,96;0000
11:53:14;000:08;002;0199,0;+20,5;0994;020,02;0000
11:53:14;000:08;003;0195,8;+19,0;0993;019,72;0000
11:53:14;000:08;004;0199,4;+20,9;0992;020,10;0000
11:53:14;000:08;005;0197,6;+22,1;0994;019,88;0000
11:53:14;000:08;006;0198,2;+22,0;0994;019,94;0000
11:53:14;000:08;007;0193,5;+19,0;0993;019,49;0000
11:53:14;000:08;008;0195,4;+18,9;0993;019,68;0000
11:53:16;000:10;001;0198,4;+21,6;0994;019,96;0000
11:53:16;000:10;002;0199,0;+20,5;0994;020,02;0000
11:53:16;000:10;003;0195,9;+19,0;0993;019,72;0000
11:53:16;000:10;004;0199,4;+20,9;0992;020,10;0000
11:53:16;000:10;005;0197,6;+22,1;0994;019,88;0000
11:53:16;000:10;006;0198,2;+22,1;0993;019,96;0000
11:53:16;000:10;007;0193,5;+19,1;0993;019,49;0000
11:53:16;000:10;008;0195,4;+18,9;0993;019,68;0000
11:53:18;000:12;001;0198,4;+21,6;0994;019,96;0000
11:53:18;000:12;002;0199,0;+20,5;0994;020,02;0000
11:53:18;000:12;003;0195,8;+19,0;0993;019,72;0000
